iata;icao;name;runways;longest;elevation;country;region;city;lat;lon
TRO;YTRE;Taree Airport;2;4934;38;AU;AU-NSW;Taree;-31.8885993958;152.514007568
TWB;YTWB;Toowoomba Airport;2;3678;2086;AU;AU-QLD;Toowoomba;-27.5428009033203;151.916000366211
NTL;YWLM;Newcastle Airport;1;7999;31;AU;AU-NSW;Williamtown;-32.7949981689453;151.833999633789
DPO;YDPO;Devonport Airport;2;6030;33;AU;AU-TAS;Devonport;-41.1697006226;146.429992676
KNS;YKII;King Island Airport;3;5198;132;AU;AU-TAS;Currie;-39.877498626709;143.878005981445
MGB;YMTG;Mount Gambier Airport;3;5000;212;AU;AU-SA;Mount Gambier;-37.7456016540527;140.785003662109
KGI;YPKG;Kalgoorlie Boulder Airport;2;6562;1203;AU;AU-WA;Kalgoorlie;-30.7894001007;121.461997986
PHE;YPPD;Port Hedland International Airport;2;8202;33;AU;AU-WA;Port Hedland;-20.3777999878;118.625999451
BWT;YWYY;Wynyard Airport;2;5413;62;AU;AU-TAS;Burnie;-40.9989013671875;145.731002807617
TUO;NZAP;Taupo Airport;2;4547;1335;NZ;NZ-WKO;Taupo;-38.7397003173828;176.083999633789
DUD;NZDN;Dunedin Airport;1;6234;4;NZ;NZ-OTA;Dunedin;-45.9281005859375;170.197998046875
GIS;NZGS;Gisborne Airport;5;4298;15;NZ;NZ-GIS;Gisborne;-38.6632995605469;177.977996826172
HLZ;NZHN;Hamilton International Airport;5;6430;172;NZ;NZ-WKO;Hamilton;-37.8666992188;175.332000732
KKE;NZKK;Kerikeri Airport;4;3904;492;NZ;NZ-NTL;Kerikeri;-35.2627983093262;173.912002563477
KAT;NZKT;Kaitaia Airport;2;4600;270;NZ;NZ-NTL;Kaitaia;-35.0699996948242;173.285003662109
NPL;NZNP;New Plymouth Airport;3;4298;97;NZ;NZ-TKI;New Plymouth;-39.0085983276367;174.179000854492
NPE;NZNR;Napier Airport;5;4298;6;NZ;NZ-HKB;Napier;-39.4658012390137;176.869995117188
NSN;NZNS;Nelson Airport;5;4420;17;NZ;NZ-NSN;Nelson;-41.2983016967773;173.220993041992
PMR;NZPM;Palmerston North Airport;3;6240;151;NZ;NZ-MWT;Palmerston North;-40.3205986022949;175.617004394531
PPQ;NZPP;Paraparaumu Airport;5;4429;22;NZ;NZ-WGN;Paraparaumu;-40.9047012329102;174.988998413086
ROT;NZRO;Rotorua Regional Airport;3;5321;935;NZ;NZ-BOP;Rotorua;-38.1091995239258;176.317001342773
